DateID,Date,Day
20240427,4/11/2025,Friday
20240428,4/11/2025,Friday
20240429,4/12/2025,Saturday
20240430,4/12/2025,Saturday
20240431,4/13/2025,Sunday
20240432,4/13/2025,Sunday
20240433,4/14/2025,Monday
20240434,4/14/2025,Monday
20240435,4/15/2025,Tuesday
20240436,4/15/2025,Tuesday
20240437,4/16/2025,Wednesday
20240438,4/11/2025,Friday
20240439,4/11/2025,Friday
20240440,4/12/2025,Saturday
20240441,4/12/2025,Saturday
20240442,4/13/2025,Sunday
20240443,4/13/2025,Sunday
20240444,4/14/2025,Monday
20240445,4/14/2025,Monday
20240446,4/15/2025,Tuesday
20240447,4/15/2025,Tuesday
20240448,4/16/2025,Wednesday
20240449,4/11/2025,Friday
20240450,4/11/2025,Friday
20240451,4/12/2025,Saturday
20240452,4/12/2025,Saturday
20240453,4/13/2025,Sunday
20240454,4/13/2025,Sunday
20240455,4/14/2025,Monday
20240456,4/14/2025,Monday
20240457,4/15/2025,Tuesday
20240458,4/15/2025,Tuesday
20240459,4/11/2025,Friday
20240460,4/11/2025,Friday
20240461,4/12/2025,Saturday
20240462,4/12/2025,Saturday
20240463,4/13/2025,Sunday
20240464,4/13/2025,Sunday
20240465,4/14/2025,Monday
20240466,4/14/2025,Monday
20240467,4/15/2025,Tuesday
20240468,4/15/2025,Tuesday
20240469,4/11/2025,Friday
20240470,4/11/2025,Friday
20240471,4/12/2025,Saturday
20240472,4/12/2025,Saturday
20240473,4/13/2025,Sunday
20240474,4/13/2025,Sunday
20240475,4/14/2025,Monday
20240476,4/14/2025,Monday
20240477,4/15/2025,Tuesday
20240478,4/15/2025,Tuesday
20240479,4/10/2025,Thursday
20240480,4/11/2025,Friday
20240481,4/11/2025,Friday
20240482,4/12/2025,Saturday
20240483,4/12/2025,Saturday
20240484,4/13/2025,Sunday
20240485,4/13/2025,Sunday
20240486,4/14/2025,Monday
20240487,4/14/2025,Monday
20240488,4/15/2025,Tuesday
20240489,4/10/2025,Thursday
20240490,4/10/2025,Thursday
20240491,4/11/2025,Friday
20240492,4/11/2025,Friday
20240493,4/12/2025,Saturday
20240494,4/12/2025,Saturday
20240495,4/13/2025,Sunday
20240496,4/13/2025,Sunday
20240497,4/14/2025,Monday
20240498,4/14/2025,Monday
20240499,4/15/2025,Tuesday
20240500,4/10/2025,Thursday
20240501,4/10/2025,Thursday
20240502,4/11/2025,Friday
20240503,4/11/2025,Friday
20240504,4/12/2025,Saturday
20240505,4/12/2025,Saturday
20240506,4/13/2025,Sunday
20240507,4/13/2025,Sunday
20240508,4/14/2025,Monday
20240509,4/14/2025,Monday
20240510,4/15/2025,Tuesday
20240511,4/16/2025,Wednesday
20240512,4/16/2025,Wednesday
20240513,4/16/2025,Wednesday
20240514,4/16/2025,Wednesday
20240515,4/16/2025,Wednesday
20240516,4/16/2025,Wednesday
20240517,4/17/2025,Thursday
20240518,4/17/2025,Thursday
20240519,4/17/2025,Thursday
20240520,4/17/2025,Thursday
20240521,4/17/2025,Thursday
20240522,4/17/2025,Thursday
20240523,4/17/2025,Thursday
20240524,4/17/2025,Thursday
20240525,4/18/2025,Friday
20240526,4/18/2025,Friday
20240527,4/18/2025,Friday
20240528,4/18/2025,Friday
20240529,4/18/2025,Friday
20240530,4/18/2025,Friday
20240531,4/18/2025,Friday
20240532,4/18/2025,Friday
20240533,4/19/2025,Saturday
20240534,4/19/2025,Saturday
20240535,4/19/2025,Saturday
20240536,4/19/2025,Saturday
20240537,4/19/2025,Saturday
20240538,4/19/2025,Saturday
20240539,4/19/2025,Saturday
20240540,4/19/2025,Saturday
20240541,4/20/2025,Sunday
20240542,4/20/2025,Sunday
20240543,4/20/2025,Sunday
20240544,4/20/2025,Sunday
20240545,4/20/2025,Sunday
20240546,4/20/2025,Sunday
20240547,4/20/2025,Sunday
20240548,4/20/2025,Sunday
20240549,4/21/2025,Monday
20240550,4/21/2025,Monday
20240551,4/21/2025,Monday
20240552,4/23/2025,Wednesday
20240553,4/23/2025,Wednesday
20240554,4/23/2025,Wednesday
20240555,4/24/2025,Thursday
20240556,4/24/2025,Thursday
20240557,4/24/2025,Thursday
20240558,4/24/2025,Thursday
20240559,4/24/2025,Thursday
20240560,4/25/2025,Friday
20240561,4/25/2025,Friday
20240562,4/25/2025,Friday
20240563,4/21/2025,Monday
20240564,4/21/2025,Monday
20240565,4/21/2025,Monday
20240566,4/21/2025,Monday
20240567,4/21/2025,Monday
20240568,4/22/2025,Tuesday
20240569,4/22/2025,Tuesday
20240570,4/22/2025,Tuesday
20240571,4/22/2025,Tuesday
20240572,4/22/2025,Tuesday
20240573,4/22/2025,Tuesday
20240574,4/22/2025,Tuesday
20240575,4/22/2025,Tuesday
20240576,4/23/2025,Wednesday
20240577,4/23/2025,Wednesday
20240578,4/23/2025,Wednesday
20240579,4/23/2025,Wednesday
20240580,4/23/2025,Wednesday
20240581,4/24/2025,Thursday
20240582,4/24/2025,Thursday
20240583,4/24/2025,Thursday
20240584,4/25/2025,Friday
20240585,4/25/2025,Friday
20240586,4/25/2025,Friday
20240587,4/25/2025,Friday
20240588,4/25/2025,Friday
20240589,4/26/2025,Saturday
20240590,4/26/2025,Saturday
20240591,4/26/2025,Saturday
20240592,4/26/2025,Saturday
20240593,4/26/2025,Saturday
20240594,4/26/2025,Saturday
20240595,4/26/2025,Saturday
20240596,4/26/2025,Saturday
20240597,4/27/2025,Sunday
20240598,4/27/2025,Sunday
20240599,4/27/2025,Sunday
20240600,4/27/2025,Sunday
20240601,4/27/2025,Sunday
20240602,4/27/2025,Sunday
20240603,4/27/2025,Sunday
20240604,4/27/2025,Sunday
20240605,4/28/2025,Monday
20240606,4/28/2025,Monday
20240607,4/30/2025,Wednesday
20240608,5/1/2025,Thursday
20240609,5/1/2025,Thursday
20240610,5/1/2025,Thursday
20240611,5/1/2025,Thursday
20240612,5/1/2025,Thursday
20240613,5/1/2025,Thursday
20240614,4/28/2025,Monday
20240615,4/28/2025,Monday
20240616,4/28/2025,Monday
20240617,4/28/2025,Monday
20240618,4/28/2025,Monday
20240619,4/28/2025,Monday
20240620,4/29/2025,Tuesday
20240621,4/29/2025,Tuesday
20240622,4/29/2025,Tuesday
20240623,4/29/2025,Tuesday
20240624,4/29/2025,Tuesday
20240625,4/29/2025,Tuesday
20240626,4/29/2025,Tuesday
20240627,4/29/2025,Tuesday
20240628,4/30/2025,Wednesday
20240629,4/30/2025,Wednesday
20240630,4/30/2025,Wednesday
20240631,4/30/2025,Wednesday
20240632,4/30/2025,Wednesday
20240633,4/30/2025,Wednesday
20240634,4/30/2025,Wednesday
20240635,5/2/2025,Friday
20240636,5/1/2025,Thursday
20240637,5/1/2025,Thursday
20240638,5/2/2025,Friday
20240639,5/2/2025,Friday
20240640,5/2/2025,Friday
