DateTime,Date,Time,Day,Hour,Time_Of_Day,DateID
4/11/2025 0:00,4/11/2025,12:00:00 AM,Friday,0,Night,20240427
4/11/2025 0:00,4/11/2025,12:00:00 AM,Friday,0,Night,20240428
4/12/2025 0:00,4/12/2025,12:00:00 AM,Saturday,0,Night,20240429
4/12/2025 0:00,4/12/2025,12:00:00 AM,Saturday,0,Night,20240430
4/13/2025 0:00,4/13/2025,12:00:00 AM,Sunday,0,Night,20240431
4/13/2025 0:00,4/13/2025,12:00:00 AM,Sunday,0,Night,20240432
4/14/2025 0:00,4/14/2025,12:00:00 AM,Monday,0,Night,20240433
4/14/2025 0:00,4/14/2025,12:00:00 AM,Monday,0,Night,20240434
4/15/2025 0:00,4/15/2025,12:00:00 AM,Tuesday,0,Night,20240435
4/15/2025 0:00,4/15/2025,12:00:00 AM,Tuesday,0,Night,20240436
4/16/2025 0:00,4/16/2025,12:00:00 AM,Wednesday,0,Night,20240437
4/11/2025 3:00,4/11/2025,3:00:00 AM,Friday,3,Night,20240438
4/11/2025 3:00,4/11/2025,3:00:00 AM,Friday,3,Night,20240439
4/12/2025 3:00,4/12/2025,3:00:00 AM,Saturday,3,Night,20240440
4/12/2025 3:00,4/12/2025,3:00:00 AM,Saturday,3,Night,20240441
4/13/2025 3:00,4/13/2025,3:00:00 AM,Sunday,3,Night,20240442
4/13/2025 3:00,4/13/2025,3:00:00 AM,Sunday,3,Night,20240443
4/14/2025 3:00,4/14/2025,3:00:00 AM,Monday,3,Night,20240444
4/14/2025 3:00,4/14/2025,3:00:00 AM,Monday,3,Night,20240445
4/15/2025 3:00,4/15/2025,3:00:00 AM,Tuesday,3,Night,20240446
4/15/2025 3:00,4/15/2025,3:00:00 AM,Tuesday,3,Night,20240447
4/16/2025 3:00,4/16/2025,3:00:00 AM,Wednesday,3,Night,20240448
4/11/2025 6:00,4/11/2025,6:00:00 AM,Friday,6,Morning,20240449
4/11/2025 6:00,4/11/2025,6:00:00 AM,Friday,6,Morning,20240450
4/12/2025 6:00,4/12/2025,6:00:00 AM,Saturday,6,Morning,20240451
4/12/2025 6:00,4/12/2025,6:00:00 AM,Saturday,6,Morning,20240452
4/13/2025 6:00,4/13/2025,6:00:00 AM,Sunday,6,Morning,20240453
4/13/2025 6:00,4/13/2025,6:00:00 AM,Sunday,6,Morning,20240454
4/14/2025 6:00,4/14/2025,6:00:00 AM,Monday,6,Morning,20240455
4/14/2025 6:00,4/14/2025,6:00:00 AM,Monday,6,Morning,20240456
4/15/2025 6:00,4/15/2025,6:00:00 AM,Tuesday,6,Morning,20240457
4/15/2025 6:00,4/15/2025,6:00:00 AM,Tuesday,6,Morning,20240458
4/11/2025 9:00,4/11/2025,9:00:00 AM,Friday,9,Morning,20240459
4/11/2025 9:00,4/11/2025,9:00:00 AM,Friday,9,Morning,20240460
4/12/2025 9:00,4/12/2025,9:00:00 AM,Saturday,9,Morning,20240461
4/12/2025 9:00,4/12/2025,9:00:00 AM,Saturday,9,Morning,20240462
4/13/2025 9:00,4/13/2025,9:00:00 AM,Sunday,9,Morning,20240463
4/13/2025 9:00,4/13/2025,9:00:00 AM,Sunday,9,Morning,20240464
4/14/2025 9:00,4/14/2025,9:00:00 AM,Monday,9,Morning,20240465
4/14/2025 9:00,4/14/2025,9:00:00 AM,Monday,9,Morning,20240466
4/15/2025 9:00,4/15/2025,9:00:00 AM,Tuesday,9,Morning,20240467
4/15/2025 9:00,4/15/2025,9:00:00 AM,Tuesday,9,Morning,20240468
4/11/2025 12:00,4/11/2025,12:00:00 PM,Friday,12,Afternoon,20240469
4/11/2025 12:00,4/11/2025,12:00:00 PM,Friday,12,Afternoon,20240470
4/12/2025 12:00,4/12/2025,12:00:00 PM,Saturday,12,Afternoon,20240471
4/12/2025 12:00,4/12/2025,12:00:00 PM,Saturday,12,Afternoon,20240472
4/13/2025 12:00,4/13/2025,12:00:00 PM,Sunday,12,Afternoon,20240473
4/13/2025 12:00,4/13/2025,12:00:00 PM,Sunday,12,Afternoon,20240474
4/14/2025 12:00,4/14/2025,12:00:00 PM,Monday,12,Afternoon,20240475
4/14/2025 12:00,4/14/2025,12:00:00 PM,Monday,12,Afternoon,20240476
4/15/2025 12:00,4/15/2025,12:00:00 PM,Tuesday,12,Afternoon,20240477
4/15/2025 12:00,4/15/2025,12:00:00 PM,Tuesday,12,Afternoon,20240478
4/10/2025 15:00,4/10/2025,3:00:00 PM,Thursday,15,Afternoon,20240479
4/11/2025 15:00,4/11/2025,3:00:00 PM,Friday,15,Afternoon,20240480
4/11/2025 15:00,4/11/2025,3:00:00 PM,Friday,15,Afternoon,20240481
4/12/2025 15:00,4/12/2025,3:00:00 PM,Saturday,15,Afternoon,20240482
4/12/2025 15:00,4/12/2025,3:00:00 PM,Saturday,15,Afternoon,20240483
4/13/2025 15:00,4/13/2025,3:00:00 PM,Sunday,15,Afternoon,20240484
4/13/2025 15:00,4/13/2025,3:00:00 PM,Sunday,15,Afternoon,20240485
