Temp_Category_ID,Temp_Category
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
1,Moderate
2,Hot
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
2,Hot
1,Moderate
1,Moderate
2,Hot
1,Moderate
1,Moderate
1,Moderate
1,Moderate
2,Hot
