TimeID,Time,Hour,Time_Of_Day
111,12:00:00 AM,0,Night
222,12:00:00 AM,0,Night
333,12:00:00 AM,0,Night
444,12:00:00 AM,0,Night
555,12:00:00 AM,0,Night
666,12:00:00 AM,0,Night
777,12:00:00 AM,0,Night
888,12:00:00 AM,0,Night
999,12:00:00 AM,0,Night
1110,12:00:00 AM,0,Night
1221,12:00:00 AM,0,Night
1332,3:00:00 AM,3,Night
1443,3:00:00 AM,3,Night
1554,3:00:00 AM,3,Night
1665,3:00:00 AM,3,Night
1776,3:00:00 AM,3,Night
1887,3:00:00 AM,3,Night
1998,3:00:00 AM,3,Night
2109,3:00:00 AM,3,Night
2220,3:00:00 AM,3,Night
2331,3:00:00 AM,3,Night
2442,3:00:00 AM,3,Night
2553,6:00:00 AM,6,Morning
2664,6:00:00 AM,6,Morning
2775,6:00:00 AM,6,Morning
2886,6:00:00 AM,6,Morning
2997,6:00:00 AM,6,Morning
3108,6:00:00 AM,6,Morning
3219,6:00:00 AM,6,Morning
3330,6:00:00 AM,6,Morning
3441,6:00:00 AM,6,Morning
3552,6:00:00 AM,6,Morning
3663,9:00:00 AM,9,Morning
3774,9:00:00 AM,9,Morning
3885,9:00:00 AM,9,Morning
3996,9:00:00 AM,9,Morning
4107,9:00:00 AM,9,Morning
4218,9:00:00 AM,9,Morning
4329,9:00:00 AM,9,Morning
4440,9:00:00 AM,9,Morning
4551,9:00:00 AM,9,Morning
4662,9:00:00 AM,9,Morning
4773,12:00:00 PM,12,Afternoon
4884,12:00:00 PM,12,Afternoon
4995,12:00:00 PM,12,Afternoon
5106,12:00:00 PM,12,Afternoon
5217,12:00:00 PM,12,Afternoon
5328,12:00:00 PM,12,Afternoon
5439,12:00:00 PM,12,Afternoon
5550,12:00:00 PM,12,Afternoon
5661,12:00:00 PM,12,Afternoon
5772,12:00:00 PM,12,Afternoon
5883,3:00:00 PM,15,Afternoon
5994,3:00:00 PM,15,Afternoon
6105,3:00:00 PM,15,Afternoon
6216,3:00:00 PM,15,Afternoon
6327,3:00:00 PM,15,Afternoon
6438,3:00:00 PM,15,Afternoon
6549,3:00:00 PM,15,Afternoon
6660,3:00:00 PM,15,Afternoon
6771,3:00:00 PM,15,Afternoon
6882,3:00:00 PM,15,Afternoon
6993,6:00:00 PM,18,Evening
7104,6:00:00 PM,18,Evening
7215,6:00:00 PM,18,Evening
7326,6:00:00 PM,18,Evening
7437,6:00:00 PM,18,Evening
7548,6:00:00 PM,18,Evening
7659,6:00:00 PM,18,Evening
7770,6:00:00 PM,18,Evening
7881,6:00:00 PM,18,Evening
7992,6:00:00 PM,18,Evening
8103,6:00:00 PM,18,Evening
8214,9:00:00 PM,21,Night
8325,9:00:00 PM,21,Night
8436,9:00:00 PM,21,Night
8547,9:00:00 PM,21,Night
8658,9:00:00 PM,21,Night
8769,9:00:00 PM,21,Night
8880,9:00:00 PM,21,Night
8991,9:00:00 PM,21,Night
9102,9:00:00 PM,21,Night
9213,9:00:00 PM,21,Night
9324,9:00:00 PM,21,Night
9435,6:00:00 AM,6,Morning
9546,9:00:00 AM,9,Morning
9657,12:00:00 PM,12,Afternoon
9768,3:00:00 PM,15,Afternoon
9879,6:00:00 PM,18,Evening
9990,9:00:00 PM,21,Night
10101,12:00:00 AM,0,Night
10212,3:00:00 AM,3,Night
10323,6:00:00 AM,6,Morning
10434,9:00:00 AM,9,Morning
10545,12:00:00 PM,12,Afternoon
10656,3:00:00 PM,15,Afternoon
10767,6:00:00 PM,18,Evening
10878,9:00:00 PM,21,Night
10989,12:00:00 AM,0,Night
11100,3:00:00 AM,3,Night
11211,6:00:00 AM,6,Morning
11322,9:00:00 AM,9,Morning
11433,12:00:00 PM,12,Afternoon
11544,3:00:00 PM,15,Afternoon
11655,6:00:00 PM,18,Evening
11766,9:00:00 PM,21,Night
11877,12:00:00 AM,0,Night
11988,3:00:00 AM,3,Night
12099,6:00:00 AM,6,Morning
12210,9:00:00 AM,9,Morning
12321,12:00:00 PM,12,Afternoon
12432,3:00:00 PM,15,Afternoon
12543,6:00:00 PM,18,Evening
12654,9:00:00 PM,21,Night
12765,12:00:00 AM,0,Night
12876,3:00:00 AM,3,Night
12987,6:00:00 AM,6,Morning
13098,9:00:00 AM,9,Morning
13209,12:00:00 PM,12,Afternoon
13320,3:00:00 PM,15,Afternoon
13431,6:00:00 PM,18,Evening
13542,9:00:00 PM,21,Night
13653,12:00:00 AM,0,Night
13764,3:00:00 AM,3,Night
13875,6:00:00 AM,6,Morning
13986,3:00:00 PM,15,Afternoon
14097,6:00:00 PM,18,Evening
14208,9:00:00 PM,21,Night
14319,12:00:00 AM,0,Night
14430,3:00:00 AM,3,Night
14541,3:00:00 PM,15,Afternoon
14652,6:00:00 PM,18,Evening
14763,9:00:00 PM,21,Night
14874,12:00:00 AM,0,Night
14985,3:00:00 AM,3,Night
15096,6:00:00 AM,6,Morning
15207,9:00:00 AM,9,Morning
15318,12:00:00 PM,12,Afternoon
15429,3:00:00 PM,15,Afternoon
15540,6:00:00 PM,18,Evening
15651,9:00:00 PM,21,Night
15762,12:00:00 AM,0,Night
15873,3:00:00 AM,3,Night
15984,6:00:00 AM,6,Morning
16095,9:00:00 AM,9,Morning
16206,12:00:00 PM,12,Afternoon
16317,3:00:00 PM,15,Afternoon
16428,6:00:00 PM,18,Evening
16539,9:00:00 PM,21,Night
16650,12:00:00 AM,0,Night
16761,3:00:00 AM,3,Night
16872,6:00:00 AM,6,Morning
16983,9:00:00 AM,9,Morning
17094,12:00:00 PM,12,Afternoon
17205,6:00:00 AM,6,Morning
17316,9:00:00 AM,9,Morning
17427,12:00:00 PM,12,Afternoon
17538,9:00:00 AM,9,Morning
17649,12:00:00 PM,12,Afternoon
17760,3:00:00 PM,15,Afternoon
17871,6:00:00 PM,18,Evening
17982,9:00:00 PM,21,Night
18093,12:00:00 AM,0,Night
18204,3:00:00 AM,3,Night
18315,6:00:00 AM,6,Morning
18426,9:00:00 AM,9,Morning
18537,12:00:00 PM,12,Afternoon
18648,3:00:00 PM,15,Afternoon
18759,6:00:00 PM,18,Evening
18870,9:00:00 PM,21,Night
18981,12:00:00 AM,0,Night
19092,3:00:00 AM,3,Night
19203,6:00:00 AM,6,Morning
19314,9:00:00 AM,9,Morning
19425,12:00:00 PM,12,Afternoon
19536,3:00:00 PM,15,Afternoon
19647,6:00:00 PM,18,Evening
19758,9:00:00 PM,21,Night
19869,3:00:00 AM,3,Night
19980,12:00:00 AM,0,Night
20091,9:00:00 PM,21,Night
20202,12:00:00 AM,0,Night
20313,3:00:00 PM,15,Afternoon
20424,3:00:00 AM,3,Night
20535,6:00:00 AM,6,Morning
20646,9:00:00 AM,9,Morning
20757,12:00:00 PM,12,Afternoon
20868,6:00:00 AM,6,Morning
20979,9:00:00 AM,9,Morning
21090,12:00:00 PM,12,Afternoon
21201,3:00:00 PM,15,Afternoon
21312,6:00:00 PM,18,Evening
21423,9:00:00 PM,21,Night
21534,12:00:00 AM,0,Night
21645,3:00:00 AM,3,Night
21756,6:00:00 AM,6,Morning
21867,9:00:00 AM,9,Morning
21978,12:00:00 PM,12,Afternoon
22089,3:00:00 PM,15,Afternoon
22200,6:00:00 PM,18,Evening
