Weather_ID,Weather_Description
501,Moderate Rain
800,Clear Sky
1099,Clouds
1398,Clouds
1697,Rain
1996,Rain
2295,Clouds
2594,Clouds
2893,Clear
3192,Clear
3491,Rain
3790,Rain
4089,Rain
4388,Clouds
4687,Clouds
4986,Clouds
5285,Clouds
5584,Clouds
5883,Clouds
6182,Clear
6481,Clear
6780,Clear
7079,Clear
7378,Clouds
7677,Clouds
7976,Clouds
8275,Rain
8574,Rain
8873,Clouds
9172,Clouds
9471,Clear
9770,Clear
10069,Clear
10368,Clear
10667,Clear
10966,Clear
11265,Clouds
11564,Clouds
11863,Clouds
12162,Clouds
12461,Rain
12760,Rain
13059,Clouds
13358,Clouds
13657,Clouds
13956,Clouds
14255,Clear
14554,Clear
14853,Clouds
15152,Clouds
15451,Rain
15750,Rain
16049,Rain
16348,Rain
16647,Clouds
16946,Rain
17245,Rain
17544,Clear
17843,Clear
18142,Clear
18441,Clear
18740,Rain
19039,Rain
19338,Rain
19637,Clouds
19936,Clouds
20235,Rain
20534,Rain
20833,Clear
21132,Clear
21431,Clear
21730,Clear
22029,Rain
22328,Rain
22627,Rain
22926,Clouds
23225,Clouds
23524,Rain
23823,Rain
24122,Clouds
24421,Clouds
24720,Rain
25019,Rain
25318,Rain
25617,Rain
25916,Rain
26215,Clear
26514,Clouds
26813,Rain
27112,Rain
27411,Rain
27710,Clouds
28009,Clouds
28308,Clear
28607,Clear
28906,Clouds
29205,Clouds
29504,Clear
29803,Rain
30102,Clouds
30401,Clouds
30700,Clouds
30999,Clouds
31298,Clear
31597,Clear
31896,Clouds
32195,Clouds
32494,Clear
32793,Clear
33092,Clear
33391,Clear
33690,Clouds
33989,Clouds
34288,Clouds
34587,Clouds
34886,Clouds
35185,Clouds
35484,Clouds
35783,Clouds
36082,Clouds
36381,Clouds
36680,Rain
36979,Rain
37278,Clouds
37577,Clouds
37876,Clouds
38175,Clouds
38474,Rain
38773,Clear
39072,Clear
39371,Clear
39670,Clouds
39969,Clouds
40268,Clouds
40567,Clouds
40866,Clouds
41165,Clouds
41464,Clouds
41763,Clouds
42062,Clouds
42361,Rain
42660,Rain
42959,Clouds
43258,Clouds
43557,Clear
43856,Clear
44155,Clouds
44454,Rain
44753,Rain
45052,Rain
45351,Rain
45650,Clouds
45949,Clouds
46248,Clouds
46547,Clouds
46846,Clouds
47145,Clouds
47444,Clouds
47743,Rain
48042,Clouds
48341,Clouds
48640,Clear
48939,Clear
49238,Clouds
49537,Clouds
49836,Clouds
50135,Clouds
50434,Clouds
50733,Rain
51032,Clouds
51331,Clouds
51630,Clouds
51929,Clouds
52228,Clouds
52527,Clouds
52826,Clouds
53125,Clouds
53424,Clouds
53723,Clouds
54022,Clouds
54321,Clouds
54620,Clouds
54919,Clouds
55218,Clouds
55517,Clouds
55816,Clouds
56115,Clouds
56414,Clear
56713,Rain
57012,Clouds
57311,Clouds
57610,Rain
57909,Clouds
58208,Clouds
58507,Clouds
58806,Rain
59105,Clouds
59404,Clouds
59703,Clouds
60002,Rain
60301,Rain
60600,Rain
60899,Clouds
61198,Clouds
61497,Clouds
61796,Clouds
62095,Clouds
62394,Clouds
62693,Clouds
62992,Clouds
63291,Clouds
63590,Rain
63889,Clouds
64188,Clouds
,Clouds
,Clouds
