Datetime,Date,Time,Day,Temperature,Feels_Like,Temp_Min,Temp_Max,Humidity,Pressure,Wind_Speed,Wind_Direction,Weather,Description,Cloudiness,Rain_3h,Snow_3h,Temp_Category,Hour,Time_Of_Day
2025-04-10 12:00:00,2025-04-10,12:00:00,Thursday,28.3,29.8,28.3,28.3,59,1006,5.9,232,Clouds,overcast clouds,100,0.0,0,Moderate,12,Afternoon
2025-04-10 15:00:00,2025-04-10,15:00:00,Thursday,27.4,29.0,25.6,27.4,64,1007,5.97,245,Clouds,overcast clouds,95,0.0,0,Moderate,15,Afternoon
2025-04-10 18:00:00,2025-04-10,18:00:00,Thursday,25.5,26.1,24.1,25.5,75,1009,5.38,245,Clouds,overcast clouds,85,0.0,0,Moderate,18,Evening
2025-04-10 21:00:00,2025-04-10,21:00:00,Thursday,23.3,23.9,23.3,23.3,85,1008,4.13,249,Clouds,overcast clouds,95,0.0,0,Moderate,21,Night
2025-04-11 00:00:00,2025-04-11,00:00:00,Friday,22.8,23.4,22.8,22.8,87,1009,3.17,232,Clouds,broken clouds,69,0.0,0,Moderate,0,Night
2025-04-11 03:00:00,2025-04-11,03:00:00,Friday,26.9,28.4,26.9,26.9,66,1010,4.48,232,Clouds,few clouds,14,0.0,0,Moderate,3,Night
2025-04-11 06:00:00,2025-04-11,06:00:00,Friday,32.5,34.1,32.5,32.5,45,1009,4.54,232,Clouds,few clouds,15,0.0,0,Hot,6,Morning
2025-04-11 09:00:00,2025-04-11,09:00:00,Friday,34.3,35.6,34.3,34.3,39,1005,5.42,226,Clear,clear sky,10,0.0,0,Hot,9,Morning
2025-04-11 12:00:00,2025-04-11,12:00:00,Friday,30.2,31.9,30.2,30.2,53,1006,6.81,235,Clouds,few clouds,20,0.0,0,Hot,12,Afternoon
2025-04-11 15:00:00,2025-04-11,15:00:00,Friday,26.3,26.3,26.3,26.3,72,1008,5.19,245,Rain,light rain,9,0.16,0,Moderate,15,Afternoon
2025-04-11 18:00:00,2025-04-11,18:00:00,Friday,25.0,25.6,25.0,25.0,78,1010,3.29,236,Rain,light rain,21,2.72,0,Moderate,18,Evening
2025-04-11 21:00:00,2025-04-11,21:00:00,Friday,24.0,24.6,24.0,24.0,82,1009,2.63,263,Rain,light rain,36,2.23,0,Moderate,21,Night
2025-04-12 00:00:00,2025-04-12,00:00:00,Saturday,23.8,24.3,23.8,23.8,80,1010,2.43,280,Rain,light rain,35,0.42,0,Moderate,0,Night
2025-04-12 03:00:00,2025-04-12,03:00:00,Saturday,26.4,26.4,26.4,26.4,66,1011,4.13,252,Clouds,overcast clouds,92,0.0,0,Moderate,3,Night
2025-04-12 06:00:00,2025-04-12,06:00:00,Saturday,31.5,32.5,31.5,31.5,45,1010,4.1,245,Clouds,broken clouds,70,0.0,0,Hot,6,Morning
2025-04-12 09:00:00,2025-04-12,09:00:00,Saturday,33.9,34.8,33.9,33.9,38,1006,4.62,237,Clouds,few clouds,18,0.0,0,Hot,9,Morning
2025-04-12 12:00:00,2025-04-12,12:00:00,Saturday,30.2,32.1,30.2,30.2,54,1007,6.52,232,Clouds,few clouds,16,0.0,0,Hot,12,Afternoon
2025-04-12 15:00:00,2025-04-12,15:00:00,Saturday,25.6,26.2,25.6,25.6,75,1009,5.15,241,Clear,clear sky,5,0.0,0,Moderate,15,Afternoon
2025-04-12 18:00:00,2025-04-12,18:00:00,Saturday,24.5,25.1,24.5,24.5,82,1011,3.98,246,Clear,clear sky,5,0.0,0,Moderate,18,Evening
